Country Code	Nome	Ano	"Taxa de mortalidade (por 1000 pessoas)"	"Expectativa de vida à nascença (anos)"	"Desemprego de Longo Prazo (%)"	"Desemprego de Longo Prazo Feminino (%)"	"Long-term unemployment, male (% of male unemployment)"	"População entre os 0 e os 14 anos (%)"	"População entre os 15 e os 64 anos (%)"	"População com 65 anos ou mais (%)"	"Crescimento Populacional (% anual)"	"População Feminina (%)"	"População total"	"Desempregados com ensino básico (% do desemprego total)"	"Desempregados com ensino básico, mulheres (% do desemprego feminino total)"	"Unemployment with primary education, male (% of male unemployment)"	"Desempregados com ensino secundário (% do desemprego total)"	"Desempregados com ensino secundário, mulheres (% do desemprego feminino total)"	"Unemployment with secondary education, male (% of male unemployment)"	"Desempregados com ensino superior (% do desemprego total)"	"Desempregados com ensino superior, mulheres (% do desemprego feminino total)"	"Unemployment with tertiary education, male (% of male unemployment)"	"Desemprego, mulheres (% força de trabalho feminina)"	"Unemployment, male (% of male labor force)"	"Desemprego Total (%)"	"Desemprego, juventude feminina (% força de trabalho feminina entres os 15 e os 24 anos)"	"Desemprego jovem (% força de trabalho entres os 15 e os 24 anos)"
ALB	Albania	1978	6.483	69.7542439	0	0	0	37.08038393	57.65915131	5.260464764	2.075741895	48.56062477	2566266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1979	6.376	70.00965854	0	0	0	36.48108168	58.23736145	5.281556873	1.98945702	48.56302998	2617832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1980	6.289	70.23597561	0	0	0	35.94882228	58.74987179	5.301305923	2.047963861	48.57001132	2671997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1981	6.213	70.45446341	0	0	0	35.46198647	59.20900192	5.329011611	2.002974306	48.58753737	2726056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1982	6.138	70.68512195	0	0	0	35.03671572	59.60897531	5.354308964	2.113271783	48.61563346	2784278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1983	6.06	70.93739024	0	0	0	34.65968015	59.9644694	5.375850448	2.120885334	48.6445603	2843960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1984	5.98	71.20653659	0	0	0	34.31091229	60.29804349	5.391044221	2.103936618	48.66142356	2904429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1985	5.907	71.47121951	0	0	0	33.98737157	60.61280188	5.399826547	2.055994609	48.66093052	2964762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1986	5.856	71.69756098	0	0	0	33.71009499	60.87705274	5.412852273	1.933220811	48.62694973	3022635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1987	5.838	71.86195122	0	0	0	33.47688298	61.10771157	5.415405455	1.997039956	48.57061207	3083605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1988	5.857	71.95329268	0	0	0	33.26483298	61.31481885	5.420348169	1.886710529	48.54125535	3142336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1989	5.911	71.97858537	0	0	0	33.02226816	61.53198599	5.445745851	2.687861989	48.60042186	3227943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1990	5.99	71.95731707	0	0	0	32.69588198	61.80152512	5.502592906	1.799085593	48.78372477	3286542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1991	6.081	71.91841463	0	0	0	32.81237502	61.53088534	5.656739648	-0.602809679	49.12454456	3266790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1992	6.167	71.90080488	0	0	0	32.85486419	61.30830803	5.836827785	-0.606434726	49.6017883	3247039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1993	6.234	71.93585366	0	0	0	32.81281205	61.14885678	6.038331176	-0.610165793	50.12639425	3227287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1994	6.273	72.04195122	0	0	0	32.73001566	61.025449	6.244535339	-0.613880507	50.55555662	3207536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1995	6.274	72.23602439	0	0	0	32.65484866	60.89991171	6.445239636	-0.617703658	50.77646024	3187784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1996	6.23	72.52741463	0	0	0	32.12797789	61.29217855	6.579843559	-0.621511399	50.73129856	3168033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1997	6.149	72.89809756	0	0	0	31.66419346	61.63689166	6.698914881	-0.625430097	50.46217087	3148281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	1998	6.044	73.32658537	0	0	0	31.23721759	61.95031226	6.812470149	-0.629334393	50.07103037	3128530	46.59999847	40.09999847	52.59999847	42.09999847	49.29999924	35.40000153	6.800000191	6.699999809	6.900000095	0	0	0	0	0	0
ALB	Albania	1999	5.927	73.79339024	0	0	0	30.78683378	62.2778104	6.935355816	-0.633352274	49.70536311	3108778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	2000	5.818	74.27153659	0	0	0	30.26331173	62.66220153	7.074486742	-0.637356834	49.46692227	3089027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	2001	5.741	74.73256098	0	0	0	29.63679378	63.02427617	7.338930051	-0.938470428	49.38828646	3060173	56.29999924	51.79999924	61.09999847	38.90000153	43.09999847	34.5	3.299999952	3.700000048	2.900000095	28.39999962	18.79999924	22.70000076	27.10000038	41.59999847	35.5
ALB	Albania	2002	5.711	75.15460976	0	0	0	28.92288205	63.45100656	7.626111391	-0.299876697	49.43469847	3051010	56.40000153	54.79999924	58	38.40000153	40.59999847	36.20000076	3.400000095	3.400000095	3.400000095	0	0	0	0	0	0
ALB	Albania	2003	5.737	75.52329268	0	0	0	28.1148652	63.95297469	7.932160107	-0.374149169	49.55728903	3039616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	2004	5.822	75.83121951	0	0	0	27.23205224	64.51550024	8.252447517	-0.417931378	49.67916313	3026939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	2005	5.957	76.08160976	0	0	0	26.29110251	65.12670286	8.582194634	-0.511790116	49.74569881	3011487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	2006	6.131	76.28612195	0	0	0	25.25435624	65.72373728	9.021906481	-0.630911245	49.7399812	2992547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	Albania	2007	6.321	76.47029268	0	0	0	24.2331648	66.28532351	9.481511693	-0.755718755	49.68442456	2970017	0	0	0	0	0	0	0	0	0	12.19999981	14.39999962	13.5	15.80000019	22.79999924	19.79999924
ALB	Albania	2008	6.508	76.65207317	0	0	0	23.22307823	66.81642951	9.96049226	-0.767342959	49.61021231	2947314	0	0	0	0	0	0	0	0	0	13.5	12.5	13	23.79999924	25.5	24.70000076
ALB	Albania	2009	6.684	76.84036585	65.5	66.69999695	64.19999695	22.2681019	67.277976	10.4539221	-0.673894046	49.56742344	2927519	43.5	43.70000076	43.29999924	40	36.40000153	43.70000076	15.10000038	18.10000038	12.10000038	15.89999962	12.19999981	13.80000019	22.20000076	21.60000038	21.89999962
ALB	Albania	2010	6.841	77.03695122	0	0	0	21.42512293	67.62005911	10.95481796	-0.496461963	49.59276442	2913021	0	0	0	0	0	0	0	0	0	15.89999962	12.80000019	14.19999981	20.70000076	23.79999924	22.5
ALB	Albania	2011	6.981	77.24058537	74	75.09999847	73	20.6090069	68.15690174	11.23409136	-0.283303108	49.70010499	2904780	42.5	37.79999924	46.59999847	39.70000076	41.09999847	38.5	13.60000038	17.5	10.30000019	14.39999962	13.60000038	14	21.39999962	25.5	23.89999962
ALB	Albania	2012	7.109	77.44397561	77.30000305	80.40000153	75.30000305	19.92809304	68.57029986	11.50160709	-0.156175016	49.87129717	2900247	40.70000076	36.90000153	43.20000076	40.59999847	35	44.20000076	16.29999924	26.79999924	9.699999809	12.10000038	14.5	13.39999962	22	31.39999962	27.89999962
ALB	Albania	2013	7.232	77.64046341	72.59999847	77.59999847	69.69999695	19.38229399	68.84802418	11.76968183	-0.124031847	50.07340596	2896652	40.59999847	38.20000076	42.09999847	41.20000076	35.20000076	44.70000076	15.30000019	23.79999924	10.39999962	13.19999981	17.5	15.60000038	26.10000038	32.5	30.20000076
ALB	Albania	2014	7.35	77.83046341	0	0	0	18.9304268	69.00732124	12.06225196	-0.103552395	50.2597523	2893654	0	0	0	0	0	0	0	0	0	15.19999981	19.20000076	17.5	0	0	0
ALB	Albania	2015	0	0	0	0	0	18.54620412	69.05746201	12.39633387	-0.155183807	50.39767955	2889167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1967	12.9	69.91780488	0	0	0	23.98429518	62.52358151	13.4921233	0.74742522	53.14787075	7376998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1968	12.9	70.05756098	0	0	0	24.2773358	62.05492345	13.66774075	0.519254262	53.10552689	7415403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1969	13.3	69.83317073	0	0	0	24.48918502	61.68553757	13.82527742	0.345331646	53.06359191	7441055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1970	13.2	69.91463415	0	0	0	24.57842116	61.45443534	13.9671435	0.349218946	53.02267214	7467086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1971	13	70.11463415	0	0	0	24.53180911	61.30223422	14.16595667	0.446245581	52.98276611	7500482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1972	12.6	70.46341463	0	0	0	24.36219741	61.30275191	14.33505069	0.581190352	52.94384749	7544201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
